problem,p,m,q,n,lb,lb_ref,ub,ub_ref
truncated,5,1,5,6,11,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",11,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,5,1,5,7,13,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",13,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,5,1,5,8,15,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",15,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,5,1,5,9,17,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",17,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,5,1,5,10,19,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",19,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,5,1,5,11,21,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",21,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,7,1,7,1,1,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",1,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,7,1,7,2,3,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",3,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,7,1,7,3,5,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",5,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,7,1,7,4,7,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",7,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,7,1,7,5,9,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",9,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,7,1,7,6,11,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",11,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,7,1,7,7,13,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",13,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,7,1,7,8,15,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",15,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,7,1,7,9,17,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",17,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,7,1,7,10,19,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",19,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,7,1,7,11,21,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",21,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,2,3,8,1,1,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",1,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,2,3,8,2,3,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",3,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,2,3,8,3,5,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",5,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,2,3,8,4,7,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",7,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,2,3,8,5,9,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",9,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,2,3,8,6,11,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",11,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,2,3,8,7,13,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",13,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,2,3,8,8,15,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",15,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,2,3,8,9,17,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",17,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,2,3,8,10,19,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",19,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,2,3,8,11,21,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",21,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,3,2,9,1,1,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",1,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,3,2,9,2,3,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",3,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,3,2,9,3,5,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",5,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,3,2,9,4,7,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",7,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,3,2,9,5,9,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",9,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,3,2,9,6,11,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",11,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,3,2,9,7,13,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",13,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,3,2,9,8,15,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",15,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,3,2,9,9,17,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",17,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,3,2,9,10,19,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",19,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
truncated,3,2,9,11,21,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270",21,"Alder–Strassen lower bound for local algebras as summarized by Bläser (2004); Averbuch–Galil–Winograd (1991), Part II for the algebra G[u]/<u^n>; Winograd (1976), modulus-factor theorem for P=x^N (derived exact rank 2N-1); https://doi.org/10.1137/S0097539703438277; https://doi.org/10.1016/0304-3975(91)90017-V; https://doi.org/10.1007/BF01683270"
